noc_code,type_english,name_english,type_french,name_french
00011,Additional information,There is mobility among senior management occupations.,Renseignements supplémentaires,Il existe une mobilité parmi les professions des cadres supérieurs.
00012,Additional information,There is mobility among senior management occupations.,Renseignements supplémentaires,Il existe une mobilité parmi les professions des cadres supérieurs.
00013,Additional information,There is mobility among senior management occupations.,Renseignements supplémentaires,Il existe une mobilité parmi les professions des cadres supérieurs.
00014,Additional information,There is mobility among senior management occupations.,Renseignements supplémentaires,Il existe une mobilité parmi les professions des cadres supérieurs.
00015,Additional information,There is mobility among senior management occupations.,Renseignements supplémentaires,Il existe une mobilité parmi les professions des cadres supérieurs.
10010,Additional information,"Progression to senior management positions, such as vice-president of finance, is possible with experience.",Renseignements supplémentaires,"L'expérience permet d'accéder à des postes de cadres supérieurs, tels que vice-président des finances."
10011,Additional information,Progression to senior management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de cadres supérieurs.
10011,Additional information,Other joint committees led by human resources managers may focus on issues such as alcohol or drug addiction.,Renseignements supplémentaires,Les autres comités paritaires gérés par les directeurs des ressources humaines peuvent être concernés par des problèmes tels que l'alcoolisme ou la toxicomanie.
10019,Additional information,"Duties of court registrars can include those of other court services occupations such as court administrator and ""Court Clerks"" (14103) depending on the location and size of the courthouse.",Renseignements supplémentaires,"Les taches des ""greffiers d'un tribunal"" peuvent inclure parfois celles des autres professions des services judiciaires, comme les ""administrateurs de tribunaux "" (dans la CNP 14103) en fonction de l'emplacement et la taille du palais de justices."
10019,Additional information,Court registrars in the higher courts may also perform various judicial duties.,Renseignements supplémentaires,Les greffiers des tribunal supérieurs peuvent aussi exercer diverses fonctions judiciaires.
10020,Additional information,There is no mobility between the different types of managers in this unit group.,Renseignements supplémentaires,Il n'y a pas de mobilité entre les différents types de directeurs de ce groupe de base.
10020,Additional information,Progression to senior management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de cadres supérieurs.
10021,Additional information,Progression to senior management positions in this field is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de cadres supérieurs dans ce domaine.
10022,Additional information,Progression to senior management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de cadres supérieurs.
10030,Additional information,Progression to senior management positions in telecommunications is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de cadres supérieurs de gestion en télécommunications.
11100,Additional information,"There is limited mobility among the three professional accounting designations: Chartered professional accountant, chartered accountant (CPA, CA); Chartered professional accountant, certified general accountant (CPA, CGA), and Chartered professional accountant, certified management accountant (CPA, CMA).",Renseignements supplémentaires,"Il existe peu de mobilité entre les trois désignations professionnelles : comptables professionnels agréés, comptables agréés (CPA, CA), comptables professionnels agréés, comptables généraux licenciés (CPA, CGA) et comptables professionnels agréés, comptables en management accrédités (CPA, CMA)."
11100,Additional information,Progression to auditing or accounting management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de gestion en vérification ou en comptabilité.
11101,Additional information,"Progression to management positions, such as securities manager, is possible with experience.",Renseignements supplémentaires,"L'expérience permet d'accéder à des postes de direction, tel que directeur des valeurs mobilières."
11102,Additional information,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development.",Renseignements supplémentaires,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11102,Additional information,Progression to financial management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de direction des services financiers.
11103,Additional information,Progression to related management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de direction connexes.
11109,Additional information,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development.",Renseignements supplémentaires,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109,Additional information,Progression to financial management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de direction des services financiers.
11200,Additional information,Progression to management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de gestion.
11201,Additional information,Progression to senior and managerial positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes supérieurs ou de direction.
11202,Additional information,"Progression to managerial positions in public relations, communications and fundraising is possible with additional training and experience.",Renseignements supplémentaires,"L'expérience et une formation supplémentaire permettent d'accéder à des postes de gestion en relations publiques, en communications et en collecte de fonds."
12101,Additional information,Progression to specialist and management positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de spécialiste ou de gestionnaire.
12102,Additional information,Progression to managerial positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de gestion.
12102,Additional information,Procurement and purchasing agents and officers may specialize in the purchase of particular materials or business services such as furniture or access rights.,Renseignements supplémentaires,"Les agents en approvisionnement et aux achats peuvent se spécialiser dans l'achat de matériel ou de services aux entreprises, tels que des meubles ou les droits d'accès."
12104,Additional information,Progression to managerial positions in these fields is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de gestion dans ces domaines.
12110,Additional information,"There is some mobility between occupations in this unit group and other occupations requiring similar knowledge of legal or medical terminology, such as legal or medical administrative positions.",Renseignements supplémentaires,"Il existe une certaine mobilité entre les professions de ce groupe et les professions qui exigent des connaissances terminologiques comparables, comme celles en secrétariat juridique ou médical."
12111,Additional information,Progression to supervisory positions is possible with experience.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de supervision.
12111,Additional information,Progression to management positions is possible with additional training and experience.,Renseignements supplémentaires,Une formation additionnelle et l'expérience permettent d'accéder à des postes de direction.
12112,Additional information,Progression to supervisory positions is possible with additional training and experience.,Renseignements supplémentaires,Une formation additionnelle et l'expérience permettent d'accéder à des postes de supervision.
12113,Additional information,Progression to supervisory positions is possible with experience. Progression to professional occupations in statistics and research usually requires completion of a postgraduate degree.,Renseignements supplémentaires,L'expérience permet d'accéder à des postes de supervision. Un diplôme d'études supérieures est habituellement exigé pour accéder à des postes de professionnels en statistiques et en recherche.
12200,Additional information,Progression to professional accounting occupations is possible with additional training.,Renseignements supplémentaires,Une formation supplémentaire permet d'accéder à des postes en comptabilité professionnelle.
