noc_code,type_english,name_english,type_french,name_french
00010,All examples,Aboriginal band chief,Tous les exemples,chef de bande autochtone
00010,All examples,Aboriginal band council member,Tous les exemples,membre du conseil de bande - Premières nations
00010,All examples,alderman/woman,Tous les exemples,solliciteur général/solliciteuse générale
00010,All examples,attorney general,Tous les exemples,ministre du cabinet
00010,All examples,cabinet minister,Tous les exemples,membre du cabinet
00010,All examples,city alderman,Tous les exemples,président/présidente d'une municipalité régionale
00010,All examples,city councillor,Tous les exemples,conseiller municipal/conseillère municipale
00010,All examples,city councilman/woman,Tous les exemples,sénateur/sénatrice
00010,All examples,councillor,Tous les exemples,président/présidente d'un conseil municipal
00010,All examples,First Nations band chief,Tous les exemples,premier ministre/première ministre
00010,All examples,First Nations band council member,Tous les exemples,membre de l'Assemblée nationale (MAN)
00010,All examples,First Nations government leader,Tous les exemples,chef de bande - Premières nations
00010,All examples,government leader,Tous les exemples,leader du gouvernement
00010,All examples,governor general,Tous les exemples,gouverneur général/gouverneure générale
00010,All examples,leader of the opposition,Tous les exemples,chef de l'opposition
00010,All examples,legislative body speaker,Tous les exemples,orateur/oratrice - gouvernement
00010,All examples,legislator,Tous les exemples,législateur/législatrice
00010,All examples,lieutenant-governor,Tous les exemples,lieutenant-gouverneur/lieutenante-gouverneure
00010,All examples,mayor,Tous les exemples,maire/mairesse
00010,All examples,Member of Legislative Assembly (MLA),Tous les exemples,député/députée à l'Assemblée législative
00010,All examples,Member of Parliament (MP),Tous les exemples,député/députée
00010,All examples,Member of the House of Assembly (MHA),Tous les exemples,député/députée à la Chambre d'assemblée
00010,All examples,Member of the National Assembly (MNA),Tous les exemples,membre de l'Assemblée législative (MAL)
00010,All examples,Member of the Provincial Parliament (MPP),Tous les exemples,député provincial/députée provinciale
00010,All examples,metropolitan council chair,Tous les exemples,membre du conseil de bande autochtone
00010,All examples,municipal council chairman/woman,Tous les exemples,président/présidente du conseil d'une communauté urbaine
