noc_code,type_english,name_english,type_french,name_french
00010,Employment requirements,"Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required.",Conditions d'accès à la profession,"Les membres des corps législatifs sont élus sauf dans le cas des sénateurs, des lieutenant-gouverneurs et du gouverneur général, qui sont des représentants nommés."
00011,Employment requirements,A university degree or college diploma is usually required.,Conditions d'accès à la profession,Un diplôme d'études universitaires ou collégiales est habituellement exigé.
00011,Employment requirements,A graduate degree in a related field may be required.,Conditions d'accès à la profession,Un diplôme d'études supérieures dans un domaine connexe peut être exigé.
00011,Employment requirements,Several years of managerial experience in the public or private sector are required.,Conditions d'accès à la profession,Plusieurs années d'expérience en gestion dans le secteur public ou privé sont exigées.
00012,Employment requirements,"A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required.",Conditions d'accès à la profession,"Un diplôme d'études universitaires en administration des affaires, en commerce, en informatique ou dans un autre domaine relié au service offert est habituellement exigé."
00012,Employment requirements,"Several years of experience as a middle manager in financial, communications or other business services are usually required.",Conditions d'accès à la profession,"Plusieurs années d'expérience en tant que directeur intermédiaire dans les secteurs des services financiers, des communications ou d'autres services aux entreprises sont habituellement exigées."
00012,Employment requirements,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience.,Conditions d'accès à la profession,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire spécifique."
00012,Employment requirements,Senior managers in finance usually require a professional accounting or financial designation.,Conditions d'accès à la profession,Un certificat professionnel en comptabilité ou en finance est habituellement exigé des cadres supérieurs des services financiers.
00013,Employment requirements,"A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required.",Conditions d'accès à la profession,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en administration hospitalière, en finances ou dans une discipline rattachée aux services est habituellement exigé."
00013,Employment requirements,Several years of experience as a middle manager in a related institution or organization are usually required.,Conditions d'accès à la profession,Plusieurs années d'expérience en tant que cadre intermédiaire dans un organisme ou un établissement connexe sont habituellement exigées.
00013,Employment requirements,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.,Conditions d'accès à la profession,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00013,Employment requirements,Senior managers in finance usually require a professional accounting designation.,Conditions d'accès à la profession,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
00014,Employment requirements,"A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required.",Conditions d'accès à la profession,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en finance ou dans une discipline connexe rattachée au service est habituellement exigé."
00014,Employment requirements,"Several years of experience as a middle manager in trade, broadcasting or other service are usually required.",Conditions d'accès à la profession,"Plusieurs années d'expérience en tant que cadre intermédiaire dans les secteurs du commerce, de la radiotélédiffusion et des autres services sont habituellement exigées."
00014,Employment requirements,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.,Conditions d'accès à la profession,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00014,Employment requirements,Senior managers in finance usually require a professional accounting designation.,Conditions d'accès à la profession,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
00015,Employment requirements,"A university degree or college diploma in engineering, business administration, commerce or other discipline related to the company's product is usually required.",Conditions d'accès à la profession,"Un diplôme d'études universitaires ou collégiales en génie, en administration des affaires, en commerce ou dans une autre discipline se rattachant au produit de la compagnie est habituellement exigé."
00015,Employment requirements,"Several years of experience as a middle manager in goods production, utilities, transportation or construction are usually required.",Conditions d'accès à la profession,"Plusieurs années d'expérience en tant que cadre intermédiaire dans les secteurs de la production des biens, des services d'utilité publique, du transport ou de la construction sont habituellement exigées."
00015,Employment requirements,Specialization in a particular functional area or product is possible through specific university or college training in that area or through previous experience.,Conditions d'accès à la profession,"Il est possible de se spécialiser dans un domaine ou un produit particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00015,Employment requirements,Senior managers in finance usually require a professional accounting designation.,Conditions d'accès à la profession,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
10010,Employment requirements,"A bachelor's degree in business administration, economics, commerce or a related field is required.",Conditions d'accès à la profession,"Un baccalauréat en administration des affaires, en économie, en commerce ou dans un domaine connexe est exigé."
10010,Employment requirements,"A master's degree in business administration (concentration in finance), or another master's level management program may be required.",Conditions d'accès à la profession,Une maîtrise en administration des affaires (option finance) ou autre programme de maîtrise en gestion peut être exigée.
10010,Employment requirements,"Several years of experience in accounting, auditing, budgeting, financial planning and analysis or other financial activities are required.",Conditions d'accès à la profession,"Plusieurs années d'expérience en comptabilité, en vérification, en budgétisation, en planification et en analyse financière ou dans toute autre activité à caractère financier sont exigées."
10010,Employment requirements,"Accounting and audit managers may require a recognized accounting designation (CPA, CA, CPA, CMA or CPA, CGA).",Conditions d'accès à la profession,"Un titre professionnel reconnu en comptabilité peut être exigé des directeurs de la comptabilité ou de la vérification (CPA, CA, CPA, CMA, ou CPA, CGA)."
10010,Employment requirements,"Investment, treasury, or corporate finance managers may require a recognized financial designation (CFA, CFP, CIM or others).",Conditions d'accès à la profession,"Un titre professionnel reconnu en finance peut être exigé des directeurs financiers en investissement, en trésorerie et en financement des entreprises (CFA, CFP, CIM ou autres)."
10011,Employment requirements,"A bachelor's degree in a field related to personnel management, such as business administration, industrial relations, commerce or psychology  or completion of a professional development program in personnel administration is required.",Conditions d'accès à la profession,"Un baccalauréat dans un domaine relié à la gestion du personnel tel que l'administration des affaires, les relations industrielles, le commerce ou la psychologie  ou la réalisation d'un programme de perfectionnement professionnel en gestion du personnel est exigé."
10011,Employment requirements,Several years of experience as a personnel officer or human resource specialist are required.,Conditions d'accès à la profession,Plusieurs années d'expérience comme agent du personnel ou spécialiste des ressources humaines sont exigées.
10011,Employment requirements,Some employers may require human resources managers to hold a Certified Human Resources Professional (CHRP) designation.,Conditions d'accès à la profession,Certains employeurs peuvent exiger le titre de conseiller en ressources humaines agréé (CRHA).
10012,Employment requirements,"A bachelor's degree or college diploma in business administration, commerce or economics is usually required.",Conditions d'accès à la profession,"Un baccalauréat ou un diplôme d'études collégiales en gestion des affaires, en commerce ou en économie est habituellement exigé."
10012,Employment requirements,"Purchasing managers responsible for units purchasing specialized materials or business services may require a related degree or diploma. For example, a bachelor's degree or college diploma in engineering may be required for purchasing managers responsible for purchasing industrial products.",Conditions d'accès à la profession,"Un diplôme d'études dans une discipline connexe peut être exigé des directeurs des achats responsables d'achats de matériel ou de services commerciaux spécialisés. Par exemple, un baccalauréat ou un diplôme d'études collégiales en génie peut être exigé des directeurs des achats responsables de produits industriels."
10012,Employment requirements,The designation Supply Chain Management Professional (SCMP) or registration in the educational program of the Supply Chain Management Association may be required.,Conditions d'accès à la profession,Le titre de professionnel en gestion de la chaîne d'approvisionnement (p.g.c.a.) ou l'inscription au programme d'études offert par l'Association de la gestion de la chaîne d'approvisionnement peut être exigé.
10012,Employment requirements,Several years of experience as a purchasing agent or officer are required.,Conditions d'accès à la profession,Plusieurs années d'expérience en tant qu'agent aux achats sont exigées.
10019,Employment requirements,A bachelor's degree or college diploma in business administration or a related administrative services field is usually required.,Conditions d'accès à la profession,Un baccalauréat ou un diplôme d'études collégiales en gestion des affaires ou dans un domaine connexe des services administratifs est habituellement exigé.
10019,Employment requirements,"Several years of experience at a professional level in business administration, finance or administrative services are usually required.",Conditions d'accès à la profession,"Plusieurs années d'expérience, à un niveau professionnel, en gestion des affaires, de la finance ou des services administratifs sont habituellement exigées."
