noc_code,type_english,name_english,type_french,name_french
00010,Exclusion(s),"Chief executive officer (CEO) - health, education, social and community services and membership organizations  (See 00013 Senior managers - health, education, social and community services and membership organizations)",Exclusion(s),"Chef de direction - santé, enseignement, services communautaires et sociaux et associations mutuelles  (Voir 00013 Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles)"
00010,Exclusion(s),Commissioner - government services  (See 00011 Senior government managers and officials),Exclusion(s),Commissaire - services gouvernementaux  (Voir 00011 Cadres supérieurs/cadres supérieures - administration publique)
00011,Exclusion(s),Legislators  (See 00010 Legislators),Exclusion(s),Membres des corps législatifs  (Voir 00010 Membres des corps législatifs)
00011,Exclusion(s),Managers in public administration  (See 4001 Managers in public administration),Exclusion(s),Directeurs/directrices de la fonction publique  (Voir 4001 Directeurs/directrices de la fonction publique)
00012,Exclusion(s),Managers in communication (except broadcasting)  (See 1003 Managers in communication (except broadcasting)),Exclusion(s),Directeurs/directrices des services de communications (sauf la radiotélédiffusion)  (Voir 1003 Directeurs/directrices des services de communications (sauf la radiotélédiffusion))
00012,Exclusion(s),"Managers in engineering, architecture, science and information systems  (See 2001 Managers in engineering, architecture, science and information systems)",Exclusion(s),"Directeurs/directrices des services de génie, d'architecture, de sciences et des systèmes informatiques  (Voir 2001 Directeurs/directrices des services de génie, d'architecture, de sciences et des systèmes informatiques)"
00012,Exclusion(s),Managers in financial and business services  (See 1002 Managers in financial and business services),Exclusion(s),Directeurs/directrices des services financiers et des services aux entreprises  (Voir 1002 Directeurs/directrices des services financiers et des services aux entreprises)
00013,Exclusion(s),Administrators - post-secondary education and vocational training  (See 40020 Administrators - post-secondary education and vocational training),Exclusion(s),Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle  (Voir 40020 Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle)
00013,Exclusion(s),Government managers - education policy development and program administration  (See 40012 Government managers - education policy development and program administration),Exclusion(s),Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes  (Voir 40012 Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes)
00013,Exclusion(s),Government managers - health and social policy development and program administration  (See 40010 Government managers - health and social policy development and program administration),Exclusion(s),Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé  (Voir 40010 Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé)
00013,Exclusion(s),Managers in health care  (See 30010 Managers in health care),Exclusion(s),Directeurs/directrices des soins de santé  (Voir 30010 Directeurs/directrices des soins de santé)
00013,Exclusion(s),"Managers in social, community and correctional services  (See 40030 Managers in social, community and correctional services)",Exclusion(s),"Directeurs/directrices des services sociaux, communautaires et correctionnels  (Voir 40030 Directeurs/directrices des services sociaux, communautaires et correctionnels)"
00013,Exclusion(s),Other managers in public administration  (See 40019 Other managers in public administration),Exclusion(s),Autres gestionnaires de la fonction publique  (Voir 40019 Autres gestionnaires de la fonction publique)
00013,Exclusion(s),School principals and administrators of elementary and secondary education  (See 40021 School principals and administrators of elementary and secondary education),Exclusion(s),Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire  (Voir 40021 Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire)
00014,Exclusion(s),"Managers in art, culture, recreation and sport  (See 5001 Managers in art, culture, recreation and sport)",Exclusion(s),"Directeurs/directrices des arts, de la culture, des sports et des loisirs  (Voir 5001 Directeurs/directrices des arts, de la culture, des sports et des loisirs)"
00014,Exclusion(s),Managers in customer and personal services  (See 60040 Managers in customer and personal services),Exclusion(s),Directeurs/directrices du service à la clientèle et des services personnels  (Voir 60040 Directeurs/directrices du service à la clientèle et des services personnels)
00014,Exclusion(s),Managers in food service and accommodation  (See 6003 Managers in food service and accommodation),Exclusion(s),Directeurs/directrices de la restauration et des services d'hébergement  (Voir 6003 Directeurs/directrices de la restauration et des services d'hébergement)
00014,Exclusion(s),Retail and wholesale trade managers  (See 6002 Retail and wholesale trade managers),Exclusion(s),Directeurs/directrices - commerce de détail et de gros  (Voir 6002 Directeurs/directrices - commerce de détail et de gros)
00015,Exclusion(s),Managers in construction and facility operation and maintenance  (See 7001 Managers in construction and facility operation and maintenance),Exclusion(s),"Directeurs/directrices de la construction, de l'exploitation et de l'entretien d'immeubles  (Voir 7001 Directeurs/directrices de la construction, de l'exploitation et de l'entretien d'immeubles)"
00015,Exclusion(s),Managers in manufacturing and utilities  (See 9001 Managers in manufacturing and utilities),Exclusion(s),Directeurs/directrices de la fabrication et des services d'utilité publique  (Voir 9001 Directeurs/directrices de la fabrication et des services d'utilité publique)
00015,Exclusion(s),Managers in natural resources production and fishing  (See 80010 Managers in natural resources production and fishing),Exclusion(s),Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche  (Voir 80010 Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche)
10010,Exclusion(s),Accounting firm manager  (See 10029 Other business services managers),Exclusion(s),Directeur/directrice de cabinet d'expertise comptable  (Voir 10029 Directeurs/directrices d'autres services aux entreprises)
10010,Exclusion(s),Audit firm manager  (See 10029 Other business services managers),Exclusion(s),Directeur/directrice de cabinet de vérificateurs  (Voir 10029 Directeurs/directrices d'autres services aux entreprises)
10010,Exclusion(s),"Banking, credit and other investment managers  (See 10021 Banking, credit and other investment managers)",Exclusion(s),"Directeurs/directrices de banque, du crédit et d'autres services de placements  (Voir 10021 Directeurs/directrices de banque, du crédit et d'autres services de placements)"
10010,Exclusion(s),"Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",Exclusion(s),"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises  (Voir 00012 Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises)"
10011,Exclusion(s),Human resources and recruitment officers  (See 12101 Human resources and recruitment officers),Exclusion(s),Agents/agentes des ressources humaines et de recrutement  (Voir 12101 Agents/agentes des ressources humaines et de recrutement)
10011,Exclusion(s),Human resources professionals  (See 11200 Human resources professionals),Exclusion(s),Professionnels/professionnelles en ressources humaines  (Voir 11200 Professionnels/professionnelles en ressources humaines)
10012,Exclusion(s),Procurement and purchasing agents and officers  (See 12102 Procurement and purchasing agents and officers),Exclusion(s),Agents/agentes en approvisionnement et aux achats  (Voir 12102 Agents/agentes en approvisionnement et aux achats)
10012,Exclusion(s),Retail and wholesale buyers  (See 62101 Retail and wholesale buyers),Exclusion(s),Acheteurs/acheteuses des commerces de détail et de gros  (Voir 62101 Acheteurs/acheteuses des commerces de détail et de gros)
10012,Exclusion(s),Warehousing manager  (See 70012 Facility operation and maintenance managers),Exclusion(s),Directeur/directrice de l'entreposage  (Voir 70012 Directeurs/directrices de l'exploitation et de l'entretien d'immeubles)
10019,Exclusion(s),Computer and information systems managers  (See 20012 Computer and information systems managers),Exclusion(s),Gestionnaires des systèmes informatiques  (Voir 20012 Gestionnaires des systèmes informatiques)
10019,Exclusion(s),Court clerks and related court services occupations  (See 14103 Court clerks and related court services occupations),Exclusion(s),Commis des services judiciaires et autres professions des services judiciaires  (Voir 14103 Commis des services judiciaires et autres professions des services judiciaires)
10019,Exclusion(s),Facility operation and maintenance managers  (See 70012 Facility operation and maintenance managers),Exclusion(s),Directeurs/directrices de l'exploitation et de l'entretien d'immeubles  (Voir 70012 Directeurs/directrices de l'exploitation et de l'entretien d'immeubles)
10019,Exclusion(s),Financial managers  (See 10010 Financial managers),Exclusion(s),Directeurs financiers/directrices financières  (Voir 10010 Directeurs financiers/directrices financières)
10019,Exclusion(s),Human resources managers  (See 10011 Human resources managers),Exclusion(s),Directeurs/directrices des ressources humaines  (Voir 10011 Directeurs/directrices des ressources humaines)
10019,Exclusion(s),Purchasing managers  (See 10012 Purchasing managers),Exclusion(s),Directeurs/directrices des achats  (Voir 10012 Directeurs/directrices des achats)
10020,Exclusion(s),"Advertising, marketing and public relations managers  (See 10022 Advertising, marketing and public relations managers)",Exclusion(s),"Directeurs/directrices de la publicité, du marketing et des relations publiques  (Voir 10022 Directeurs/directrices de la publicité, du marketing et des relations publiques)"
10020,Exclusion(s),"Banking, credit and other investment managers  (See 10021 Banking, credit and other investment managers)",Exclusion(s),"Directeurs/directrices de banque, du crédit et d'autres services de placements  (Voir 10021 Directeurs/directrices de banque, du crédit et d'autres services de placements)"
10020,Exclusion(s),Financial managers  (See 10010 Financial managers),Exclusion(s),Directeurs financiers/directrices financières  (Voir 10010 Directeurs financiers/directrices financières)
10020,Exclusion(s),Other business services managers  (See 10029 Other business services managers),Exclusion(s),Directeurs/directrices d'autres services aux entreprises  (Voir 10029 Directeurs/directrices d'autres services aux entreprises)
10020,Exclusion(s),"Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",Exclusion(s),"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises  (Voir 00012 Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises)"
10021,Exclusion(s),"Mortgage broker manager  (See 10020 Insurance, real estate and financial brokerage managers)",Exclusion(s),"Directeur/directrice des courtiers en hypothèques  (Voir 10020 Directeurs/directrices des assurances, de l'immobilier et du courtage financier)"
10021,Exclusion(s),Other business services managers  (See 10029 Other business services managers),Exclusion(s),Directeurs/directrices d'autres services aux entreprises  (Voir 10029 Directeurs/directrices d'autres services aux entreprises)
10021,Exclusion(s),"Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",Exclusion(s),"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises  (Voir 00012 Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises)"
10022,Exclusion(s),Business development officers and market researchers and analysts  (See 41402 Business development officers and market researchers and analysts),Exclusion(s),Agents/agentes de développement économique et recherchistes et analystes en marketing  (Voir 41402 Agents/agentes de développement économique et recherchistes et analystes en marketing)
10022,Exclusion(s),Conference and event planners  (See 12103 Conference and event planners),Exclusion(s),Planificateurs/planificatrices de congrès et d'événements  (Voir 12103 Planificateurs/planificatrices de congrès et d'événements)
10022,Exclusion(s),Corporate sales managers  (See 60010 Corporate sales managers),Exclusion(s),Directeurs/directrices des ventes corporatives  (Voir 60010 Directeurs/directrices des ventes corporatives)
10022,Exclusion(s),"Professional occupations in advertising, marketing and public relations  (See 11202 Professional occupations in advertising, marketing and public relations)",Exclusion(s),"Professionnels/professionnelles en publicité, en marketing et en relations publiques  (Voir 11202 Professionnels/professionnelles en publicité, en marketing et en relations publiques)"
10022,Exclusion(s),Retail and wholesale trade managers  (See 60020 Retail and wholesale trade managers),Exclusion(s),Directeurs/directrices - commerce de détail et de gros  (Voir 60020 Directeurs/directrices - commerce de détail et de gros)
10022,Exclusion(s),Retail sales supervisors  (See 62010 Retail sales supervisors),Exclusion(s),Superviseurs/superviseures des ventes - commerce de détail  (Voir 62010 Superviseurs/superviseures des ventes - commerce de détail)
10022,Exclusion(s),Sales and account representatives - wholesale trade (non-technical)  (See 64101 Sales and account representatives - wholesale trade (non-technical)),Exclusion(s),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique)  (Voir 64101 Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique))
10022,Exclusion(s),"Senior managers - trade, broadcasting and other services  (See 00014 Senior managers - trade, broadcasting and other services)",Exclusion(s),"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services  (Voir 00014 Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services)"
10022,Exclusion(s),Technical sales specialists - wholesale trade  (See 62100 Technical sales specialists - wholesale trade),Exclusion(s),Spécialistes des ventes techniques - commerce de gros  (Voir 62100 Spécialistes des ventes techniques - commerce de gros)
10029,Exclusion(s),"Advertising, marketing and public relations managers  (See 10022 Advertising, marketing and public relations managers)",Exclusion(s),"Directeurs/directrices de la publicité, du marketing et des relations publiques  (Voir 10022 Directeurs/directrices de la publicité, du marketing et des relations publiques)"
10029,Exclusion(s),Architecture and science managers  (See 20011 Architecture and science managers),Exclusion(s),Directeurs/directrices des services d'architecture et de sciences  (Voir 20011 Directeurs/directrices des services d'architecture et de sciences)
10029,Exclusion(s),"Banking, credit and other investment managers  (See 10021 Banking, credit and other investment managers)",Exclusion(s),"Directeurs/directrices de banque, du crédit et d'autres services de placements  (Voir 10021 Directeurs/directrices de banque, du crédit et d'autres services de placements)"
10029,Exclusion(s),Computer and information systems managers  (See 20012 Computer and information systems managers),Exclusion(s),Gestionnaires des systèmes informatiques  (Voir 20012 Gestionnaires des systèmes informatiques)
10029,Exclusion(s),Engineering managers  (See 20010 Engineering managers),Exclusion(s),"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises  (Voir 00012 Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises)"
10029,Exclusion(s),"Insurance, real estate and financial brokerage managers  (See 10020 Insurance, real estate and financial brokerage managers)",Exclusion(s),"Directeurs/directrices des assurances, de l'immobilier et du courtage financier  (Voir 10020 Directeurs/directrices des assurances, de l'immobilier et du courtage financier)"
10029,Exclusion(s),"Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",Exclusion(s),Directeurs/directrices des services de génie  (Voir 20010 Directeurs/directrices des services de génie)
10030,Exclusion(s),"Broadcasting manager  (See 50011 Managers - publishing, motion pictures, broadcasting and performing arts)",Exclusion(s),"Directeur/directrice de la diffusion  (Voir 50011 Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène)"
10030,Exclusion(s),"Senior managers - financial, communications and other business services  (See 00012 Senior managers - financial, communications and other business services)",Exclusion(s),"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises  (Voir 00012 Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises)"
11100,Exclusion(s),Accounting technicians and bookkeepers  (See 12200 Accounting technicians and bookkeepers),Exclusion(s),Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres  (Voir 12200 Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres)
11100,Exclusion(s),Financial managers  (See 10010 Financial managers),Exclusion(s),Directeurs financiers/directrices financières  (Voir 10010 Directeurs financiers/directrices financières)
11100,Exclusion(s),"Policy and program researchers, consultants and officers  (See 4140 Policy and program researchers, consultants and officers)",Exclusion(s),"Recherchistes, experts-conseils/expertes-conseils et agents/agentes des politiques et des programmes  (Voir 4140 Recherchistes, experts-conseils/expertes-conseils et agents/agentes des politiques et des programmes)"
11101,Exclusion(s),Economic development officer  (See 41402 Business development officers and market researchers and analysts),Exclusion(s),Agent/agente de développement économique - gouvernement  (Voir 41402 Agents/agentes de développement économique et recherchistes et analystes en marketing)
11101,Exclusion(s),Economist  (See 41401 Economists and economic policy researchers and analysts),Exclusion(s),"Économiste  (Voir 41401 Économistes, recherchistes et analystes des politiques économiques)"
11101,Exclusion(s),Financial planner  (See 11102 Financial advisors),Exclusion(s),Planificateur financier/planificatrice financière  (Voir 11102 Conseillers financiers/conseillères financières)
11101,Exclusion(s),"Securities agents, investment dealers and brokers  (See 11103 Securities agents, investment dealers and brokers)",Exclusion(s),"Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs  (Voir 11103 Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs)"
11102,Exclusion(s),Financial and investment analysts  (See 11101 Financial and investment analysts),Exclusion(s),Analystes financiers/analystes financières et analystes en placements  (Voir 11101 Analystes financiers/analystes financières et analystes en placements)
