noc_code,type_english,name_english,type_french,name_french
00010,Illustrative example(s),cabinet minister,Exemple(s) illustratif(s),ministre du cabinet
00010,Illustrative example(s),city councillor,Exemple(s) illustratif(s),conseiller municipal/conseillère municipale
00010,Illustrative example(s),First Nations band chief,Exemple(s) illustratif(s),chef de bande - Premières nations
00010,Illustrative example(s),governor general,Exemple(s) illustratif(s),gouverneur général/gouverneure générale
00010,Illustrative example(s),lieutenant-governor,Exemple(s) illustratif(s),lieutenant-gouverneur/lieutenante-gouverneure
00010,Illustrative example(s),mayor,Exemple(s) illustratif(s),maire/mairesse
00010,Illustrative example(s),Member of Legislative Assembly (MLA),Exemple(s) illustratif(s),député/députée à l'Assemblée législative
00010,Illustrative example(s),Member of Parliament (MP),Exemple(s) illustratif(s),député/députée
00010,Illustrative example(s),Member of the National Assembly (MNA),Exemple(s) illustratif(s),membre de l'Assemblée nationale (MAN)
00010,Illustrative example(s),Member of the Provincial Parliament (MPP),Exemple(s) illustratif(s),député provincial/députée provinciale
00010,Illustrative example(s),premier,Exemple(s) illustratif(s),premier ministre provincial/première ministre provinciale
00010,Illustrative example(s),prime minister,Exemple(s) illustratif(s),premier ministre/première ministre
00010,Illustrative example(s),school board trustee,Exemple(s) illustratif(s),commissaire de conseil scolaire
00010,Illustrative example(s),senator,Exemple(s) illustratif(s),sénateur/sénatrice
00011,Illustrative example(s),assistant deputy minister,Exemple(s) illustratif(s),sous-ministre adjoint/sous-ministre adjointe
00011,Illustrative example(s),chief administrative officer - regional municipality,Exemple(s) illustratif(s),statisticien en chef/statisticienne en chef - services gouvernementaux
00011,Illustrative example(s),chief statistician - government services,Exemple(s) illustratif(s),directeur général/directrice générale - services gouvernementaux
00011,Illustrative example(s),city administrator,Exemple(s) illustratif(s),administrateur municipal/administratrice municipale
00011,Illustrative example(s),deputy minister,Exemple(s) illustratif(s),sous-ministre
00011,Illustrative example(s),director general - government services,Exemple(s) illustratif(s),directeur général/directrice générale - municipalité régionale
00011,Illustrative example(s),executive director - government services,Exemple(s) illustratif(s),directeur administratif/directrice administrative - services gouvernementaux
00011,Illustrative example(s),high commissioner,Exemple(s) illustratif(s),haut-commissaire/haute-commissaire
00011,Illustrative example(s),Human Rights Commission chairperson,Exemple(s) illustratif(s),président/présidente de commission des droits de la personne
00012,Illustrative example(s),advertising agency president,Exemple(s) illustratif(s),président/présidente d'agence de publicité
00012,Illustrative example(s),bank president,Exemple(s) illustratif(s),président/présidente de banque
00012,Illustrative example(s),chief executive officer (CEO) - telephone company,Exemple(s) illustratif(s),chef de direction - compagnie téléphonique
00012,Illustrative example(s),chief financial officer (CFO) - advertising agency,Exemple(s) illustratif(s),chef des services financiers - agence de publicité
00012,Illustrative example(s),chief operating officer - engineering firm,Exemple(s) illustratif(s),chef de l'exploitation - société d'ingénierie
00012,Illustrative example(s),computing services company president,Exemple(s) illustratif(s),président/présidente de compagnie de services informatiques
00012,Illustrative example(s),credit union executive director,Exemple(s) illustratif(s),directeur administratif/directrice administrative de coopérative de crédit
00012,Illustrative example(s),executive vice-president - real estate agency,Exemple(s) illustratif(s),vice-président administratif/vice-présidente administrative d'agence immobilière
00012,Illustrative example(s),general manager - real estate management company,Exemple(s) illustratif(s),directeur général/directrice générale de compagnie de gestion immobilière
00012,Illustrative example(s),human resources vice-president - bank,Exemple(s) illustratif(s),vice-président régional/vice-présidente régionale de société de fiducie
00012,Illustrative example(s),marketing vice-president - clerical staff services,Exemple(s) illustratif(s),vice-président/vice-présidente des ressources humaines de banque
00012,Illustrative example(s),operations vice-president - satellite communication services,Exemple(s) illustratif(s),vice-président/vice-présidente de l'exploitation - services de communication par satellite
00012,Illustrative example(s),"president and chief executive officer - financial, communications and other business services",Exemple(s) illustratif(s),"président-directeur général/présidente-directrice générale (P.-D. G.) - services financiers, communications et autres services aux entreprises"
00012,Illustrative example(s),trust company regional vice-president,Exemple(s) illustratif(s),vice-président/vice-présidente du marketing - services de personnel de bureau
00013,Illustrative example(s),arts and culture association chairperson,Exemple(s) illustratif(s),directeur général/directrice générale d'association mutuelle
00013,Illustrative example(s),automobile association executive director,Exemple(s) illustratif(s),directeur administratif/directrice administrative d'association d'automobilistes
00013,Illustrative example(s),business association president,Exemple(s) illustratif(s),président/présidente d'association de gens d'affaires
00013,Illustrative example(s),educational institution chief financial officer (CFO),Exemple(s) illustratif(s),chef du service des finances d'établissement d'enseignement
00013,Illustrative example(s),health services institution executive director,Exemple(s) illustratif(s),directeur administratif/directrice administrative d'établissement de services de santé
00013,Illustrative example(s),labour organization president,Exemple(s) illustratif(s),président/présidente d'association vouée aux arts et à la culture
00013,Illustrative example(s),membership organization general manager,Exemple(s) illustratif(s),président/présidente de syndicat
00013,Illustrative example(s),music guild president,Exemple(s) illustratif(s),président/présidente de guilde de musiciens
00013,Illustrative example(s),professional association executive director,Exemple(s) illustratif(s),directeur administratif/directrice administrative d'association professionnelle
00013,Illustrative example(s),scientific association chairperson,Exemple(s) illustratif(s),président/présidente d'association scientifique
00013,Illustrative example(s),social services institution corporate controller,Exemple(s) illustratif(s),contrôleur général/contrôleuse générale d'établissement de services sociaux
00013,Illustrative example(s),voluntary organization executive director,Exemple(s) illustratif(s),directeur administratif/directrice administrative d'organisation bénévole
00014,Illustrative example(s),cleaning service general manager,Exemple(s) illustratif(s),directeur général/directrice générale de service de nettoyage
00014,Illustrative example(s),department store president,Exemple(s) illustratif(s),président/présidente de grand magasin
00014,Illustrative example(s),engineering vice-president - television broadcasting services,Exemple(s) illustratif(s),vice-président/vice-présidente à l'ingénierie - services de télédiffusion
00014,Illustrative example(s),finance vice-president - food wholesaling,Exemple(s) illustratif(s),vice-président/vice-présidente aux finances - vente d'aliments en gros
00014,Illustrative example(s),hotel chain regional vice-president,Exemple(s) illustratif(s),vice-président/vice-présidente du marketing - chaîne de magasins d'alimentation
00014,Illustrative example(s),marketing vice-president - grocery store chain,Exemple(s) illustratif(s),vice-président/vice-présidente de l'exploitation - services de radiodiffusion
00014,Illustrative example(s),operations vice-president - radio broadcasting services,Exemple(s) illustratif(s),vice-président régional/vice-présidente régionale de chaîne d'hôtels
00014,Illustrative example(s),professional sports club chief financial officer (CFO),Exemple(s) illustratif(s),chef des services financiers de club sportif professionnel
00014,Illustrative example(s),restaurant chain corporate controller,Exemple(s) illustratif(s),contrôleur général/contrôleuse générale de chaîne de restaurants
00014,Illustrative example(s),travel agency chief executive officer (CEO),Exemple(s) illustratif(s),chef de direction d'agence de voyages
00015,Illustrative example(s),chief executive officer (CEO) - manufacturing company,Exemple(s) illustratif(s),chef de direction de compagnie manufacturière
00015,Illustrative example(s),chief financial officer (CFO) - urban transit system,Exemple(s) illustratif(s),chef des services financiers - système de transport urbain
00015,Illustrative example(s),executive vice-president - railway,Exemple(s) illustratif(s),vice-président administratif/vice-présidente administrative - secteur ferroviaire
00015,Illustrative example(s),finance vice-president - mining company,Exemple(s) illustratif(s),vice-président régional/vice-présidente régionale de compagnie pétrolière
00015,Illustrative example(s),logging company corporate controller,Exemple(s) illustratif(s),contrôleur général/contrôleuse générale de compagnie d'exploitation forestière
00015,Illustrative example(s),marketing vice-president - airline,Exemple(s) illustratif(s),vice-président/vice-présidente aux finances - compagnie minière
00015,Illustrative example(s),operations vice-president - electric power company,Exemple(s) illustratif(s),vice-président/vice-présidente de l'exploitation - compagnie d'électricité
00015,Illustrative example(s),petroleum production company regional vice-president,Exemple(s) illustratif(s),vice-président/vice-présidente des ventes - fabrication de pâtes et papiers
00015,Illustrative example(s),publishing house general manager,Exemple(s) illustratif(s),directeur général/directrice générale de maison d'édition
00015,Illustrative example(s),residential construction company president,Exemple(s) illustratif(s),président/présidente de compagnie de construction résidentielle
00015,Illustrative example(s),trucking company general manager,Exemple(s) illustratif(s),directeur général/directrice générale d'entreprise de camionnage
10010,Illustrative example(s),controller - financial services,Exemple(s) illustratif(s),contrôleur/contrôleuse - services financiers
10010,Illustrative example(s),director - financial services,Exemple(s) illustratif(s),directeur financier/directrice financière
10010,Illustrative example(s),director of accounting,Exemple(s) illustratif(s),directeur/directrice de la comptabilité
10010,Illustrative example(s),finance director,Exemple(s) illustratif(s),directeur/directrice - services financiers
10010,Illustrative example(s),financial administrator,Exemple(s) illustratif(s),administrateur/administratrice des finances
10010,Illustrative example(s),financial control manager,Exemple(s) illustratif(s),directeur/directrice du contrôle financier
10010,Illustrative example(s),financial planning and analysis manager,Exemple(s) illustratif(s),directeur/directrice de la planification et de l'analyse financière
10010,Illustrative example(s),internal audit services manager,Exemple(s) illustratif(s),directeur/directrice des services de vérification interne
10010,Illustrative example(s),treasurer,Exemple(s) illustratif(s),trésorier/trésorière
10011,Illustrative example(s),employer-employee relations manager,Exemple(s) illustratif(s),directeur/directrice des relations avec les employés
10011,Illustrative example(s),human resources manager,Exemple(s) illustratif(s),directeur/directrice des ressources humaines
10011,Illustrative example(s),industrial relations manager,Exemple(s) illustratif(s),directeur/directrice des relations industrielles
10011,Illustrative example(s),occupational health and safety manager,Exemple(s) illustratif(s),directeur/directrice de la santé et de la sécurité au travail
10011,Illustrative example(s),pay and benefits manager,Exemple(s) illustratif(s),directeur/directrice du recrutement
10011,Illustrative example(s),personnel director,Exemple(s) illustratif(s),directeur/directrice de la rémunération et des avantages sociaux
10011,Illustrative example(s),personnel services manager,Exemple(s) illustratif(s),directeur/directrice des services du personnel
10011,Illustrative example(s),personnel training and development manager,Exemple(s) illustratif(s),directeur/directrice de la formation et du perfectionnement du personnel
10011,Illustrative example(s),recruiting manager,Exemple(s) illustratif(s),directeur/directrice du personnel
10011,Illustrative example(s),staff relations manager,Exemple(s) illustratif(s),directeur/directrice des relations de travail
10012,Illustrative example(s),contract manager,Exemple(s) illustratif(s),gestionnaire de contrats
10012,Illustrative example(s),food purchasing manager,Exemple(s) illustratif(s),gestionnaire de contrats d'achat
10012,Illustrative example(s),material manager,Exemple(s) illustratif(s),gestionnaire du matériel
10012,Illustrative example(s),procurement director,Exemple(s) illustratif(s),directeur/directrice du service des approvisionnements
10012,Illustrative example(s),purchasing contracts manager,Exemple(s) illustratif(s),directeur/directrice du service des achats
10012,Illustrative example(s),purchasing director,Exemple(s) illustratif(s),directeur/directrice des achats de produits alimentaires
10012,Illustrative example(s),supply chain logistics manager,Exemple(s) illustratif(s),directeur/directrice des logistiques de chaîne d'approvisionnements
10019,Illustrative example(s),administrative services chief,Exemple(s) illustratif(s),chef des services administratifs
10019,Illustrative example(s),administrative services manager,Exemple(s) illustratif(s),directeur/directrice des services administratifs
10019,Illustrative example(s),business manager - non-profit organization,Exemple(s) illustratif(s),directeur commercial/directrice commerciale - organisme à but non lucratif
10019,Illustrative example(s),court registrar,Exemple(s) illustratif(s),greffier/greffière d'un tribunal
10019,Illustrative example(s),court services manager,Exemple(s) illustratif(s),directeur/directrice des services judiciaires
