noc_code,type_english,name_english,type_french,name_french
00011,Inclusion(s),county clerk,Inclusion(s),greffier municipal/greffière municipale
00011,Inclusion(s),town clerk,Inclusion(s),secrétaire de comté
10010,Inclusion(s),corporate risk department manager,Inclusion(s),directeur/directrice du service de gestion des risques d'entreprise
10010,Inclusion(s),pension plans administrator,Inclusion(s),administrateur/administratrice de régimes de retraite
10010,Inclusion(s),pension services manager,Inclusion(s),directeur/directrice du service des pensions
10020,Inclusion(s),real estate developer,Inclusion(s),promoteur immobilier/promotrice immobilière
11200,Inclusion(s),employment adviser - human resources,Inclusion(s),conseiller/conseillère en emploi - ressources humaines
11200,Inclusion(s),staff training and development officer,Inclusion(s),agent/agente de formation et de perfectionnement du personnel
11202,Inclusion(s),development officer - fundraising,Inclusion(s),agent/agente de développement - campagnes de collectes de fonds
11202,Inclusion(s),fundraiser,Inclusion(s),collecteur/collectrice de fonds
11202,Inclusion(s),information consultant,Inclusion(s),coordonnateur/coordonnatrice de service d'information
11202,Inclusion(s),information service coordinator,Inclusion(s),conseiller/conseillère en information
12010,Inclusion(s),operations supervisor,Inclusion(s),superviseur/superviseure des opérations
12100,Inclusion(s),special assistant,Inclusion(s),adjoint spécial/adjointe spéciale
12101,Inclusion(s),employment supervisor,Inclusion(s),surveillant/surveillante du placement
12104,Inclusion(s),appeal officer,Inclusion(s),agent/agente des appels
12201,Inclusion(s),production examiner,Inclusion(s),rédacteur production/rédactrice production
12202,Inclusion(s),casualty insurance products analyst-designer,Inclusion(s),analyste-concepteur/analyste-conceptrice en assurance risques divers
12202,Inclusion(s),insurance rating analyst,Inclusion(s),analyste de tarification d'assurance
12203,Inclusion(s),real estate analyst,Inclusion(s),analyste en immobilier
13100,Inclusion(s),communications service coordinator,Inclusion(s),chef des services régionaux
13100,Inclusion(s),exam invigilator - post-secondary institution,Inclusion(s),commissaire au déménagement
13100,Inclusion(s),exam supervisor - post-secondary institution,Inclusion(s),commissaire à la réinstallation
13100,Inclusion(s),implementation officer,Inclusion(s),agent/agente de mise en application
13100,Inclusion(s),liaison officer,Inclusion(s),agent/agente de liaison
13100,Inclusion(s),public trustee,Inclusion(s),coordonnateur/coordonnatrice du service des communications
13100,Inclusion(s),regional services chief,Inclusion(s),agent/agente d'exécution
13100,Inclusion(s),relocation commissioner,Inclusion(s),agent/agente de mise en oeuvre
13101,Inclusion(s),landlord/landlady,Inclusion(s),propriétaire d'immeuble
13110,Inclusion(s),secretary-clerk,Inclusion(s),commis-secrétaire
13200,Inclusion(s),ship line agent,Inclusion(s),agent maritime/agente maritime
14100,Inclusion(s),course coordinator,Inclusion(s),coordonnateur/coordonnatrice de cours
14101,Inclusion(s),mail and message distribution clerk,Inclusion(s),préposé/préposée à la distribution du courrier et des messages
14101,Inclusion(s),medical office assistant,Inclusion(s),assistant/assistante de bureau de médecin
14110,Inclusion(s),meter reader,Inclusion(s),releveur/releveuse de compteurs
14112,Inclusion(s),terminal operator,Inclusion(s),opérateur/opératrice de terminal
14200,Inclusion(s),wharf clerk,Inclusion(s),commis aux droits de quai
14301,Inclusion(s),archives clerk,Inclusion(s),commis aux archives
14301,Inclusion(s),press clipper,Inclusion(s),préposé/préposée aux coupures de journaux
14301,Inclusion(s),press reader,Inclusion(s),lecteur/lectrice de coupures de presse
14301,Inclusion(s),reader,Inclusion(s),lecteur/lectrice de manuscrits
14301,Inclusion(s),tests clerk,Inclusion(s),commis aux tests
14401,Inclusion(s),parts technician,Inclusion(s),technicien/technicienne au service des pièces
14402,Inclusion(s),material estimator,Inclusion(s),évaluateur/évaluatrice du matériel
14402,Inclusion(s),traffic clerk - broadcasting,Inclusion(s),commis au trafic - diffusion
14403,Inclusion(s),inventory auditor,Inclusion(s),vérificateur/vérificatrice d'inventaire
21103,Inclusion(s),weather forecaster,Inclusion(s),prévisionniste en météorologie
21111,Inclusion(s),forest engineer,Inclusion(s),ingénieur forestier/ingénieure forestière
21111,Inclusion(s),superintendent - forestry,Inclusion(s),surintendant/surintendante - foresterie
21203,Inclusion(s),land survey supervisor,Inclusion(s),surveillant/surveillante de l'arpentage
21211,Inclusion(s),artificial intelligence (AI) analyst,Inclusion(s),analyste - intelligence artificielle (IA)
21211,Inclusion(s),artificial intelligence (AI) consultant,Inclusion(s),consultant/consultante - intelligence artificielle (IA)
21211,Inclusion(s),artificial intelligence (AI) designer,Inclusion(s),concepteur/conceptrice en intelligence artificielle (IA)
21231,Inclusion(s),systems architect,Inclusion(s),architecte de systèmes
21300,Inclusion(s),spatial information systems engineer,Inclusion(s),ingénieur/ingénieure de systèmes d'information spatiale
21320,Inclusion(s),pipeline transport engineer,Inclusion(s),ingénieur/ingénieure du transport par pipeline
22100,Inclusion(s),documents examiner - applied chemistry,Inclusion(s),examinateur/examinatrice de documents - chimie appliquée
22100,Inclusion(s),forensic handwriting expert,Inclusion(s),graphologue judiciaire
